date,average_price,total_volume,small_hass,large_hass,xl_hass,total_bags,small_bags,large_bags,xlarge_bags,type,year,city,state,region,total_US_bool,month,day
2015-01-25,1.19,360027.65,101289.29,210411.75,9507.42,38819.19,38819.19,0.0,0.0,conventional,2015,Sacramento,California,West,False,1,25
2015-01-25,1.44,9707.59,4291.23,4741.77,0.0,674.59,674.59,0.0,0.0,organic,2015,Sacramento,California,West,False,1,25
2015-01-25,1.02,406591.11,217747.34,140456.68,13326.97,35060.12,30090.58,4708.25,261.29,conventional,2015,San Diego,California,West,False,1,25
2015-01-25,1.26,11132.08,9245.07,470.05,0.0,1416.96,1416.96,0.0,0.0,organic,2015,San Diego,California,West,False,1,25
2015-01-25,1.21,713523.24,127276.45,481792.41,21293.67,83160.71,82293.47,796.67,70.57,conventional,2015,San Francisco,California,West,False,1,25
2015-01-25,1.34,27146.81,17038.27,9879.87,0.0,228.67,228.67,0.0,0.0,organic,2015,San Francisco,California,West,False,1,25
2015-02-01,0.74,4031949.04,2770656.27,854673.24,64439.7,342179.83,308754.64,31108.07,2317.12,conventional,2015,Los Angeles,California,West,False,2,1
2015-02-01,1.12,50107.32,39628.65,1721.95,0.0,8756.72,8756.72,0.0,0.0,organic,2015,Los Angeles,California,West,False,2,1
2015-02-01,1.04,771974.9,287292.15,429601.75,15342.47,39738.53,39738.53,0.0,0.0,conventional,2015,Sacramento,California,West,False,2,1
2015-02-01,1.22,13195.65,7103.9,5624.41,0.0,467.34,467.34,0.0,0.0,organic,2015,Sacramento,California,West,False,2,1
2015-02-01,0.85,692276.13,357235.87,277723.14,15691.23,41625.89,36622.51,4738.29,265.09,conventional,2015,San Diego,California,West,False,2,1
2015-02-01,1.11,18623.99,16215.48,1142.06,2.89,1263.56,1263.56,0.0,0.0,organic,2015,San Diego,California,West,False,2,1
2015-02-01,0.91,1352027.64,369580.89,896514.3,20587.92,65344.53,64393.44,832.23,118.86,conventional,2015,San Francisco,California,West,False,2,1
2015-02-01,1.06,57802.02,38413.44,19160.87,0.0,227.71,227.71,0.0,0.0,organic,2015,San Francisco,California,West,False,2,1
2015-02-08,0.9,2641032.65,1673425.82,582236.24,58216.26,327154.33,280560.62,44327.49,2266.22,conventional,2015,Los Angeles,California,West,False,2,8
2015-02-08,1.29,46991.12,36957.13,2213.06,0.0,7820.93,7820.93,0.0,0.0,organic,2015,Los Angeles,California,West,False,2,8
2015-02-08,0.98,432572.45,144586.53,237751.75,9798.79,40435.38,40435.38,0.0,0.0,conventional,2015,Sacramento,California,West,False,2,8
2015-02-08,1.5,8676.28,3831.1,3186.51,0.0,1658.67,1658.67,0.0,0.0,organic,2015,Sacramento,California,West,False,2,8
2015-02-08,0.98,448394.83,229118.81,162856.34,14251.47,42168.21,36417.77,5526.46,223.98,conventional,2015,San Diego,California,West,False,2,8
2015-02-08,1.29,15054.25,13016.65,926.02,0.0,1111.58,1111.58,0.0,0.0,organic,2015,San Diego,California,West,False,2,8
2015-02-08,0.92,928836.58,252068.6,581737.42,20265.96,74764.6,74003.77,733.33,27.5,conventional,2015,San Francisco,California,West,False,2,8
2015-02-08,1.35,27556.76,17561.23,9396.92,0.0,598.61,598.61,0.0,0.0,organic,2015,San Francisco,California,West,False,2,8
2015-02-15,0.83,2926435.94,2146773.46,408395.74,62511.83,308754.91,271596.41,35034.18,2124.32,conventional,2015,Los Angeles,California,West,False,2,15
2015-02-15,1.43,41524.22,33427.07,1026.28,0.0,7070.87,7070.87,0.0,0.0,organic,2015,Los Angeles,California,West,False,2,15
2015-02-15,1.13,381041.74,134992.29,194031.02,10273.69,41744.74,41744.74,0.0,0.0,conventional,2015,Sacramento,California,West,False,2,15
2015-02-15,1.63,7436.13,3520.52,3406.08,0.0,509.53,509.53,0.0,0.0,organic,2015,Sacramento,California,West,False,2,15
2015-02-15,0.94,486113.55,303637.72,127874.99,15333.5,39267.34,33642.66,5425.61,199.07,conventional,2015,San Diego,California,West,False,2,15
2015-02-15,1.49,12775.39,11531.38,555.56,0.0,688.45,688.45,0.0,0.0,organic,2015,San Diego,California,West,False,2,15
2015-02-15,1.23,696515.27,176265.06,414826.51,27243.31,78180.39,77306.88,824.45,49.06,conventional,2015,San Francisco,California,West,False,2,15
2015-02-15,1.55,24986.4,16514.7,8294.37,0.0,177.33,177.33,0.0,0.0,organic,2015,San Francisco,California,West,False,2,15
2015-02-22,0.83,2954705.54,2050402.87,505580.16,61573.28,337149.23,309850.06,25218.02,2081.15,conventional,2015,Los Angeles,California,West,False,2,22
2015-02-22,1.36,44972.88,36585.77,905.94,0.0,7481.17,7481.17,0.0,0.0,organic,2015,Los Angeles,California,West,False,2,22
2015-02-22,1.14,405013.16,137425.32,216791.05,11561.59,39235.2,39235.2,0.0,0.0,conventional,2015,Sacramento,California,West,False,2,22
2015-02-22,1.51,8785.09,5027.44,3605.45,0.0,152.2,148.87,3.33,0.0,organic,2015,Sacramento,California,West,False,2,22
2015-02-22,0.92,516149.11,301983.87,151869.53,14484.65,47811.06,42234.77,5543.66,32.63,conventional,2015,San Diego,California,West,False,2,22
2015-02-22,1.44,11764.76,10994.31,483.78,0.0,286.67,286.67,0.0,0.0,organic,2015,San Diego,California,West,False,2,22
2015-02-22,1.23,776336.17,165066.61,502502.44,27811.91,80955.21,80088.91,823.33,42.97,conventional,2015,San Francisco,California,West,False,2,22
2015-02-22,1.39,37223.45,25492.53,11724.78,0.0,6.14,6.14,0.0,0.0,organic,2015,San Francisco,California,West,False,2,22
2015-03-01,0.75,3094278.93,2145439.03,592196.29,61863.94,294779.67,269524.6,23570.43,1684.64,conventional,2015,Los Angeles,California,West,False,3,1
2015-03-01,1.14,60244.59,49177.6,1680.02,0.0,9386.97,9386.97,0.0,0.0,organic,2015,Los Angeles,California,West,False,3,1
2015-03-01,1.02,452845.47,143867.37,256090.11,13870.37,39017.62,39017.62,0.0,0.0,conventional,2015,Sacramento,California,West,False,3,1
2015-03-01,1.22,45355.38,25103.48,19850.03,0.0,401.87,401.87,0.0,0.0,organic,2015,Sacramento,California,West,False,3,1
2015-03-01,0.83,572552.24,317625.55,202619.21,14036.07,38271.41,32922.93,5315.64,32.84,conventional,2015,San Diego,California,West,False,3,1
2015-03-01,1.09,20407.13,18706.98,795.47,0.0,904.68,904.68,0.0,0.0,organic,2015,San Diego,California,West,False,3,1
2015-03-01,0.95,1039265.17,251296.88,697969.61,22240.62,67758.06,66973.03,726.66,58.37,conventional,2015,San Francisco,California,West,False,3,1
2015-03-01,1.09,49820.01,34980.14,14818.37,0.0,21.5,21.5,0.0,0.0,organic,2015,San Francisco,California,West,False,3,1
2015-03-08,0.86,2797745.89,2005781.71,400644.42,62567.6,328752.16,311497.6,15650.13,1604.43,conventional,2015,Los Angeles,California,West,False,3,8
2015-03-08,1.35,42280.47,31604.04,769.47,0.0,9906.96,9906.96,0.0,0.0,organic,2015,Los Angeles,California,West,False,3,8
2015-03-08,1.12,415147.69,152131.35,199610.67,13402.92,50002.75,50002.75,0.0,0.0,conventional,2015,Sacramento,California,West,False,3,8
2015-03-08,1.6,9666.61,4923.8,4582.74,0.0,160.07,160.07,0.0,0.0,organic,2015,Sacramento,California,West,False,3,8
2015-03-08,0.95,504284.16,314550.25,127157.9,14754.16,47821.85,42719.72,5102.13,0.0,conventional,2015,San Diego,California,West,False,3,8
2015-03-08,1.48,9468.77,8439.16,375.38,0.0,654.23,654.23,0.0,0.0,organic,2015,San Diego,California,West,False,3,8
2015-03-08,1.16,830775.42,260192.19,442834.07,31289.15,96460.01,95539.75,803.34,116.92,conventional,2015,San Francisco,California,West,False,3,8
2015-03-08,1.56,20111.3,12933.84,7159.0,0.0,18.46,18.46,0.0,0.0,organic,2015,San Francisco,California,West,False,3,8
2015-03-15,0.94,2690257.2,1841764.25,445562.2,70872.78,332057.97,313898.03,16220.47,1939.47,conventional,2015,Los Angeles,California,West,False,3,15
2015-03-15,1.42,32656.06,25316.97,1120.63,0.0,6218.46,6218.46,0.0,0.0,organic,2015,Los Angeles,California,West,False,3,15
2015-03-15,1.22,380761.14,113759.19,204089.22,14830.61,48082.12,48082.12,0.0,0.0,conventional,2015,Sacramento,California,West,False,3,15
2015-03-15,1.63,9075.16,4595.6,4262.4,0.0,217.16,217.16,0.0,0.0,organic,2015,Sacramento,California,West,False,3,15
2015-03-15,1.06,463106.48,257709.12,144761.07,17440.0,43196.29,37920.39,5268.51,7.39,conventional,2015,San Diego,California,West,False,3,15
2015-03-15,1.49,8349.37,7690.44,315.77,0.0,343.16,343.16,0.0,0.0,organic,2015,San Diego,California,West,False,3,15
2015-03-15,1.26,779754.03,204467.41,455307.39,25349.5,94629.73,93761.35,862.22,6.16,conventional,2015,San Francisco,California,West,False,3,15
2015-03-15,1.56,21389.7,13268.66,8105.63,0.0,15.41,15.41,0.0,0.0,organic,2015,San Francisco,California,West,False,3,15
2015-03-22,1.01,2466735.33,1423482.89,679696.81,68607.44,294948.19,275797.37,17691.29,1459.53,conventional,2015,Los Angeles,California,West,False,3,22
2015-03-22,1.25,41439.59,22334.06,12861.93,0.0,6243.6,6243.6,0.0,0.0,organic,2015,Los Angeles,California,West,False,3,22
2015-03-22,1.13,424708.39,106578.88,221094.74,13423.63,83611.14,83611.14,0.0,0.0,conventional,2015,Sacramento,California,West,False,3,22
2015-03-22,1.52,7875.19,4117.41,3666.37,0.0,91.41,91.41,0.0,0.0,organic,2015,Sacramento,California,West,False,3,22
2015-03-22,0.96,515764.64,235106.15,221942.26,14165.05,44551.18,38487.7,6063.48,0.0,conventional,2015,San Diego,California,West,False,3,22
2015-03-22,1.16,12951.28,8173.64,4447.33,0.0,330.31,330.31,0.0,0.0,organic,2015,San Diego,California,West,False,3,22
2015-03-22,1.19,841723.81,136354.98,568189.47,30959.94,106219.42,105385.09,818.89,15.44,conventional,2015,San Francisco,California,West,False,3,22
2015-03-22,1.34,21370.71,12997.29,8370.33,0.0,3.09,3.09,0.0,0.0,organic,2015,San Francisco,California,West,False,3,22
2015-03-29,1.0,2566690.28,1672623.8,535932.2,69022.84,289111.44,250801.63,36844.97,1464.84,conventional,2015,Los Angeles,California,West,False,3,29
2015-03-29,1.42,35121.94,13962.42,12697.51,0.0,8462.01,8462.01,0.0,0.0,organic,2015,Los Angeles,California,West,False,3,29
2015-03-29,1.2,391178.81,110809.75,203705.17,13740.39,62923.5,62884.77,38.73,0.0,conventional,2015,Sacramento,California,West,False,3,29
2015-03-29,1.64,9959.6,5357.72,4490.5,0.0,111.38,111.38,0.0,0.0,organic,2015,Sacramento,California,West,False,3,29
2015-03-29,1.08,450370.85,234361.38,155583.39,14998.04,45428.04,25798.74,19629.3,0.0,conventional,2015,San Diego,California,West,False,3,29
2015-03-29,1.53,8962.77,3207.2,5150.91,0.0,604.66,604.66,0.0,0.0,organic,2015,San Diego,California,West,False,3,29
2015-03-29,1.3,742583.03,145294.94,460144.9,26459.6,110683.59,109753.43,930.16,0.0,conventional,2015,San Francisco,California,West,False,3,29
2015-03-29,1.55,28094.96,18872.86,9215.92,0.0,6.18,6.18,0.0,0.0,organic,2015,San Francisco,California,West,False,3,29
2015-04-05,1.01,2603114.56,1753452.57,490701.38,73965.36,284995.25,245998.59,36929.22,2067.44,conventional,2015,Los Angeles,California,West,False,4,5
2015-04-05,1.42,44984.85,16980.32,17529.71,0.0,10474.82,10474.82,0.0,0.0,organic,2015,Los Angeles,California,West,False,4,5
2015-04-05,1.23,404333.75,120613.18,214547.09,15099.24,54074.24,54049.06,25.18,0.0,conventional,2015,Sacramento,California,West,False,4,5
2015-04-05,1.64,9013.89,4591.9,4319.15,0.0,102.84,102.84,0.0,0.0,organic,2015,Sacramento,California,West,False,4,5
2015-04-05,1.11,469883.87,249036.72,162601.8,15718.9,42526.45,25464.02,16966.53,95.9,conventional,2015,San Diego,California,West,False,4,5
2015-04-05,1.53,11171.13,4079.7,6401.32,0.0,690.11,690.11,0.0,0.0,organic,2015,San Diego,California,West,False,4,5
2015-04-05,1.33,742539.71,143671.36,473142.55,35650.7,90075.1,88603.82,1025.45,445.83,conventional,2015,San Francisco,California,West,False,4,5
2015-04-05,1.55,26530.7,17104.69,9426.01,0.0,0.0,0.0,0.0,0.0,organic,2015,San Francisco,California,West,False,4,5
2015-04-12,0.93,2799667.4,1818859.19,579426.16,64716.4,336665.65,284383.05,50472.61,1809.99,conventional,2015,Los Angeles,California,West,False,4,12
2015-04-12,1.39,43407.79,17119.09,17886.3,0.0,8402.4,8402.4,0.0,0.0,organic,2015,Los Angeles,California,West,False,4,12
2015-04-12,1.24,382583.75,119295.38,208546.45,13073.16,41668.76,41625.86,42.9,0.0,conventional,2015,Sacramento,California,West,False,4,12
2015-04-12,1.65,8205.75,4230.7,3803.44,0.0,171.61,171.61,0.0,0.0,organic,2015,Sacramento,California,West,False,4,12
2015-04-12,1.01,515246.69,260591.11,189713.87,14665.62,50276.09,26305.87,23949.07,21.15,conventional,2015,San Diego,California,West,False,4,12
2015-04-12,1.49,10665.71,3994.59,6126.03,0.0,545.09,545.09,0.0,0.0,organic,2015,San Diego,California,West,False,4,12
2015-04-12,1.33,729890.28,159838.22,469655.44,25315.71,75080.91,73789.73,1291.18,0.0,conventional,2015,San Francisco,California,West,False,4,12
2015-04-12,1.54,28220.45,18887.66,9332.79,0.0,0.0,0.0,0.0,0.0,organic,2015,San Francisco,California,West,False,4,12
2015-04-19,0.93,2901188.07,2029025.26,487491.5,58423.48,326247.83,279355.95,45364.01,1527.87,conventional,2015,Los Angeles,California,West,False,4,19
2015-04-19,1.41,44688.56,14352.89,21089.41,1.52,9244.74,9244.74,0.0,0.0,organic,2015,Los Angeles,California,West,False,4,19
2015-04-19,1.19,415841.32,117518.41,241637.11,13267.34,43418.46,43392.71,25.75,0.0,conventional,2015,Sacramento,California,West,False,4,19
2015-04-19,1.65,9164.67,4447.66,4568.21,0.0,148.8,148.8,0.0,0.0,organic,2015,Sacramento,California,West,False,4,19
2015-04-19,1.04,488094.98,270328.18,156651.22,13282.24,47833.34,25453.84,22379.5,0.0,conventional,2015,San Diego,California,West,False,4,19
2015-04-19,1.52,10267.95,2524.24,7216.36,0.0,527.35,527.35,0.0,0.0,organic,2015,San Diego,California,West,False,4,19
2015-04-19,1.23,818816.7,134592.31,584922.85,25208.79,74092.75,72532.18,1560.57,0.0,conventional,2015,San Francisco,California,West,False,4,19
2015-04-19,1.55,28984.95,19780.58,9164.18,0.0,40.19,40.19,0.0,0.0,organic,2015,San Francisco,California,West,False,4,19
2015-04-26,1.02,2355703.98,1567937.53,427885.78,62487.28,297393.39,280321.62,15427.14,1644.63,conventional,2015,Los Angeles,California,West,False,4,26
2015-04-26,1.4,44090.53,15815.81,17652.02,0.0,10622.7,10622.7,0.0,0.0,organic,2015,Los Angeles,California,West,False,4,26
2015-04-26,1.27,366719.82,101324.62,205561.23,13085.26,46748.71,46748.71,0.0,0.0,conventional,2015,Sacramento,California,West,False,4,26
2015-04-26,1.62,9637.66,5069.89,4401.41,0.0,166.36,166.36,0.0,0.0,organic,2015,Sacramento,California,West,False,4,26
2015-04-26,1.11,435990.48,235664.26,141949.05,14634.32,43742.85,37689.45,6053.4,0.0,conventional,2015,San Diego,California,West,False,4,26
2015-04-26,1.48,10698.67,2780.48,6603.33,0.0,1314.86,1314.86,0.0,0.0,organic,2015,San Diego,California,West,False,4,26
2015-04-26,1.39,680839.21,107461.85,458055.89,35558.24,79763.23,78503.98,1052.31,206.94,conventional,2015,San Francisco,California,West,False,4,26
2015-04-26,1.52,31950.47,22964.23,8946.0,0.0,40.24,40.24,0.0,0.0,organic,2015,San Francisco,California,West,False,4,26
2015-05-03,0.78,4015563.02,2914047.44,670161.4,61569.48,369784.7,356360.42,11566.37,1857.91,conventional,2015,Los Angeles,California,West,False,5,3
2015-05-03,1.36,43115.31,14801.85,17706.23,0.0,10607.23,10607.23,0.0,0.0,organic,2015,Los Angeles,California,West,False,5,3
2015-05-03,1.05,662034.34,149107.81,458178.77,13261.84,41485.92,41281.75,0.0,204.17,conventional,2015,Sacramento,California,West,False,5,3
2015-05-03,1.64,8315.7,4124.83,4001.1,0.0,189.77,189.77,0.0,0.0,organic,2015,Sacramento,California,West,False,5,3
2015-05-03,0.8,740760.3,424263.68,247709.36,14408.91,54378.35,50153.42,4224.93,0.0,conventional,2015,San Diego,California,West,False,5,3
2015-05-03,1.41,10506.78,2617.84,6294.57,0.0,1594.37,1594.37,0.0,0.0,organic,2015,San Diego,California,West,False,5,3
2015-05-03,1.0,1310364.67,237060.7,975141.69,32834.29,65327.99,64042.6,971.5,313.89,conventional,2015,San Francisco,California,West,False,5,3
2015-05-03,1.55,29248.72,19043.11,10162.2,0.0,43.41,43.41,0.0,0.0,organic,2015,San Francisco,California,West,False,5,3
2015-05-10,0.78,3553642.53,2743972.44,390901.84,60232.29,358535.96,345073.29,10675.7,2786.97,conventional,2015,Los Angeles,California,West,False,5,10
2015-05-10,1.39,42131.8,12338.35,19929.68,0.0,9863.77,9863.77,0.0,0.0,organic,2015,Los Angeles,California,West,False,5,10
2015-05-10,1.14,437822.76,162135.0,217681.33,13246.38,44760.05,44760.05,0.0,0.0,conventional,2015,Sacramento,California,West,False,5,10
2015-05-10,1.3,27835.34,13918.56,13294.66,0.0,622.12,622.12,0.0,0.0,organic,2015,Sacramento,California,West,False,5,10
2015-05-10,0.85,594740.3,399789.96,136147.89,11997.54,46804.91,43190.6,3614.31,0.0,conventional,2015,San Diego,California,West,False,5,10
2015-05-10,1.45,10480.68,2069.73,7045.39,0.0,1365.56,1365.56,0.0,0.0,organic,2015,San Diego,California,West,False,5,10
2015-05-10,1.3,742672.03,172662.98,462218.87,33343.35,74446.83,73411.19,1035.64,0.0,conventional,2015,San Francisco,California,West,False,5,10
2015-05-10,1.48,33676.05,23021.28,10608.04,0.0,46.73,46.73,0.0,0.0,organic,2015,San Francisco,California,West,False,5,10
2015-05-17,0.98,2557700.83,1817736.96,390302.38,54789.31,294872.18,280916.4,11067.18,2888.6,conventional,2015,Los Angeles,California,West,False,5,17
2015-05-17,1.41,43907.34,14135.17,20351.39,0.0,9420.78,9420.78,0.0,0.0,organic,2015,Los Angeles,California,West,False,5,17
2015-05-17,1.18,397215.12,141111.13,200745.02,12034.36,43324.61,43324.61,0.0,0.0,conventional,2015,Sacramento,California,West,False,5,17
2015-05-17,1.53,13045.36,7163.2,5530.28,0.0,351.88,351.88,0.0,0.0,organic,2015,Sacramento,California,West,False,5,17
2015-05-17,1.02,458191.52,283530.1,131772.59,9903.23,32985.6,29400.09,3585.51,0.0,conventional,2015,San Diego,California,West,False,5,17
2015-05-17,1.48,10914.03,2511.62,7398.74,0.0,1003.67,1003.67,0.0,0.0,organic,2015,San Diego,California,West,False,5,17
2015-05-17,1.32,701099.41,167532.68,434957.48,26013.96,72595.29,71643.24,952.05,0.0,conventional,2015,San Francisco,California,West,False,5,17
2015-05-17,1.53,31271.46,22521.08,8741.03,0.0,9.35,9.35,0.0,0.0,organic,2015,San Francisco,California,West,False,5,17
2015-05-24,0.97,2853904.6,2013195.78,465604.19,73414.62,301690.01,283662.09,14885.79,3142.13,conventional,2015,Los Angeles,California,West,False,5,24
2015-05-24,1.42,49071.35,15437.2,24124.62,0.0,9509.53,9509.53,0.0,0.0,organic,2015,Los Angeles,California,West,False,5,24
2015-05-24,1.26,403793.79,110289.47,232223.44,12830.34,48450.54,48450.54,0.0,0.0,conventional,2015,Sacramento,California,West,False,5,24
2015-05-24,1.62,11399.34,6010.97,5119.6,0.0,268.77,268.77,0.0,0.0,organic,2015,Sacramento,California,West,False,5,24
2015-05-24,1.08,477415.68,273672.82,155813.57,13519.38,34409.91,29727.22,4682.69,0.0,conventional,2015,San Diego,California,West,False,5,24
2015-05-24,1.51,12044.14,2853.3,8566.51,0.0,624.33,624.33,0.0,0.0,organic,2015,San Diego,California,West,False,5,24
2015-05-24,1.37,700411.03,131638.62,467572.13,23810.65,77389.63,76306.09,1083.54,0.0,conventional,2015,San Francisco,California,West,False,5,24
2015-05-24,1.52,29319.95,19270.32,10024.67,0.0,24.96,24.96,0.0,0.0,organic,2015,San Francisco,California,West,False,5,24
2015-05-31,0.85,3196936.02,2355022.1,455405.46,76580.26,309928.2,292423.13,14480.99,3024.08,conventional,2015,Los Angeles,California,West,False,5,31
2015-05-31,1.4,44605.56,14419.12,19119.68,0.0,11066.76,11066.76,0.0,0.0,organic,2015,Los Angeles,California,West,False,5,31
2015-05-31,1.17,435723.85,156719.55,219047.4,14172.36,45784.54,45775.86,8.68,0.0,conventional,2015,Sacramento,California,West,False,5,31
2015-05-31,1.62,10430.71,5542.33,4688.66,0.0,199.72,199.72,0.0,0.0,organic,2015,Sacramento,California,West,False,5,31
2015-05-31,0.9,569414.76,358147.99,153680.36,14150.62,43435.79,39195.38,4240.41,0.0,conventional,2015,San Diego,California,West,False,5,31
2015-05-31,1.49,10940.85,2933.55,6895.9,0.0,1111.4,1111.4,0.0,0.0,organic,2015,San Diego,California,West,False,5,31
2015-05-31,1.29,764114.39,192708.56,469208.86,26109.55,76087.42,75077.58,1009.84,0.0,conventional,2015,San Francisco,California,West,False,5,31
2015-05-31,1.54,24581.46,15942.89,8626.08,0.0,12.49,12.49,0.0,0.0,organic,2015,San Francisco,California,West,False,5,31
2015-06-07,0.84,3261844.41,2356669.17,447751.9,71705.74,385717.6,367627.51,14651.88,3438.21,conventional,2015,Los Angeles,California,West,False,6,7
2015-06-07,1.42,44034.76,14739.99,19066.01,6.3,10222.46,10222.46,0.0,0.0,organic,2015,Los Angeles,California,West,False,6,7
2015-06-07,1.18,435087.17,143063.59,224039.06,14288.77,53695.75,53695.75,0.0,0.0,conventional,2015,Sacramento,California,West,False,6,7
2015-06-07,1.85,9557.56,4934.71,4500.75,0.0,122.1,122.1,0.0,0.0,organic,2015,Sacramento,California,West,False,6,7
2015-06-07,0.89,607468.04,378749.86,164367.13,13914.85,50436.2,46211.78,4224.42,0.0,conventional,2015,San Diego,California,West,False,6,7
2015-06-07,1.51,10372.71,2793.72,6690.16,0.0,888.83,888.83,0.0,0.0,organic,2015,San Diego,California,West,False,6,7
2015-06-07,1.31,758817.08,167496.15,477146.12,36846.32,77328.49,76252.85,1075.64,0.0,conventional,2015,San Francisco,California,West,False,6,7
2015-06-07,1.96,22886.87,14837.87,8027.21,0.0,21.79,21.79,0.0,0.0,organic,2015,San Francisco,California,West,False,6,7
2015-06-14,0.79,3689140.93,2747257.69,497878.86,69556.02,374448.36,357012.13,14619.41,2816.82,conventional,2015,Los Angeles,California,West,False,6,14
2015-06-14,1.44,42369.24,15847.77,18470.25,22.09,8029.13,8029.13,0.0,0.0,organic,2015,Los Angeles,California,West,False,6,14
2015-06-14,1.22,431791.38,149611.03,209926.36,13867.94,58386.05,58386.05,0.0,0.0,conventional,2015,Sacramento,California,West,False,6,14
2015-06-14,1.81,10339.48,4885.46,5256.1,0.0,197.92,197.92,0.0,0.0,organic,2015,Sacramento,California,West,False,6,14
2015-06-14,0.87,630746.82,403551.43,165020.73,14478.75,47695.91,43522.9,4173.01,0.0,conventional,2015,San Diego,California,West,False,6,14
2015-06-14,1.53,11438.64,3328.84,7539.16,3.44,567.2,567.2,0.0,0.0,organic,2015,San Diego,California,West,False,6,14
2015-06-14,1.51,696873.03,181175.51,403173.66,32092.36,80431.5,79360.05,1071.45,0.0,conventional,2015,San Francisco,California,West,False,6,14
2015-06-14,1.95,23972.69,15257.42,8712.16,0.0,3.11,3.11,0.0,0.0,organic,2015,San Francisco,California,West,False,6,14
2015-06-21,0.91,3040023.34,2133616.93,473295.46,79616.07,353494.88,334560.23,15484.32,3450.33,conventional,2015,Los Angeles,California,West,False,6,21
2015-06-21,1.46,45352.7,16257.28,20593.79,0.0,8501.63,8501.63,0.0,0.0,organic,2015,Los Angeles,California,West,False,6,21
2015-06-21,1.27,422723.91,137206.11,215068.66,14700.4,55748.74,55744.3,4.44,0.0,conventional,2015,Sacramento,California,West,False,6,21
